"","id_no","binomial","presence","origin","shape_Area","TaxonID","Order","Family","Genus","Species","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","TaxonomicNote","FillCode","TrophicLevel","MammalEater","Insectivore","Frugivore","Granivore","Folivore","DataSource","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"61",568,"Aethomys bocagei",1,1,20.87213069,3347,"RODENTIA","MURIDAE","Aethomys","bocagei",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",569,"Aethomys chrysophilus",1,1,314.5125643,3348,"RODENTIA","MURIDAE","Aethomys","chrysophilus",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",570,"Aethomys granti",1,1,12.61155431,3349,"RODENTIA","MURIDAE","Aethomys","granti",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",571,"Aethomys hindei",1,1,202.5039182,3350,"RODENTIA","MURIDAE","Aethomys","hindei",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"",0,"Omnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",44990,"Aethomys ineptus",1,1,39.91685311,3351,"RODENTIA","MURIDAE","Aethomys","ineptus",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"Not Recorded",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",572,"Aethomys kaiseri",1,1,138.9525374,3352,"RODENTIA","MURIDAE","Aethomys","kaiseri",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",573,"Aethomys namaquensis",1,1,297.6823008,3353,"RODENTIA","MURIDAE","Aethomys","namaquensis",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",574,"Aethomys nyikae",1,1,61.00360052,3354,"RODENTIA","MURIDAE","Aethomys","nyikae",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",567,"Aethomys silindensis",1,1,1.646397275,3355,"RODENTIA","MURIDAE","Aethomys","silindensis",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",575,"Aethomys stannarius",1,1,14.03551556,3356,"RODENTIA","MURIDAE","Aethomys","stannarius",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,"",1,"Herbivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
