TaxonID,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TaxonomicNote,FillCode,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,DataSource
164,CETARTIODACTYLA,BOVIDAE,Capra,caucasica,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,IUCN
165,CETARTIODACTYLA,BOVIDAE,Capra,cylindricornis,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,Nowak
166,CETARTIODACTYLA,BOVIDAE,Capra,falconeri,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,Nowak
167,CETARTIODACTYLA,BOVIDAE,Capra,ibex,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,,0,Herbivore,0,0,0,0,1,Nowak
168,CETARTIODACTYLA,BOVIDAE,Capra,nubiana,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,IUCN
169,CETARTIODACTYLA,BOVIDAE,Capra,pyrenaica,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,0,Herbivore,0,0,0,0,1,Nowak
170,CETARTIODACTYLA,BOVIDAE,Capra,sibirica,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,IUCN
171,CETARTIODACTYLA,BOVIDAE,Capra,walie,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,0,Herbivore,0,0,0,0,1,Nowak
173,CETARTIODACTYLA,BOVIDAE,Capricornis,crispus,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,,0,Herbivore,0,0,0,1,1,IUCN
174,CETARTIODACTYLA,BOVIDAE,Capricornis,milneedwardsii,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,Not Recorded,0,Herbivore,0,0,0,0,1,IUCN
175,CETARTIODACTYLA,BOVIDAE,Capricornis,rubidus,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,Not Recorded,1,Herbivore,0,0,0,0,1,Extrapolated
176,CETARTIODACTYLA,BOVIDAE,Capricornis,sumatraensis,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,0,Herbivore,0,0,0,0,1,IUCN
177,CETARTIODACTYLA,BOVIDAE,Capricornis,swinhoei,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,IUCN
178,CETARTIODACTYLA,BOVIDAE,Capricornis,thar,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,Not Recorded,1,Herbivore,0,0,0,0,1,Extrapolated
180,CETARTIODACTYLA,BOVIDAE,Cephalophus,adersi,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,,0,Herbivore,0,0,1,1,1,IUCN
181,CETARTIODACTYLA,BOVIDAE,Cephalophus,callipygus,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
182,CETARTIODACTYLA,BOVIDAE,Cephalophus,dorsalis,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
183,CETARTIODACTYLA,BOVIDAE,Cephalophus,harveyi,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
184,CETARTIODACTYLA,BOVIDAE,Cephalophus,jentinki,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
185,CETARTIODACTYLA,BOVIDAE,Cephalophus,leucogaster,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
186,CETARTIODACTYLA,BOVIDAE,Cephalophus,natalensis,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
187,CETARTIODACTYLA,BOVIDAE,Cephalophus,niger,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
188,CETARTIODACTYLA,BOVIDAE,Cephalophus,nigrifrons,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
189,CETARTIODACTYLA,BOVIDAE,Cephalophus,ogilbyi,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
190,CETARTIODACTYLA,BOVIDAE,Cephalophus,rufilatus,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
191,CETARTIODACTYLA,BOVIDAE,Cephalophus,silvicultor,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
192,CETARTIODACTYLA,BOVIDAE,Cephalophus,spadix,3,3,0,0,3,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,IUCN
193,CETARTIODACTYLA,BOVIDAE,Cephalophus,weynsi,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
194,CETARTIODACTYLA,BOVIDAE,Cephalophus,zebra,2,2,0,2,0,0,0,1,0,1,0,0,1,1,1,0,,1,Omnivore,0,0,1,0,1,Extrapolated
196,CETARTIODACTYLA,BOVIDAE,Connochaetes,gnou,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,IUCN
197,CETARTIODACTYLA,BOVIDAE,Connochaetes,taurinus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,IUCN
199,CETARTIODACTYLA,BOVIDAE,Damaliscus,lunatus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,Nowak
200,CETARTIODACTYLA,BOVIDAE,Damaliscus,pygargus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,IUCN
202,CETARTIODACTYLA,BOVIDAE,Dorcatragus,megalotis,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,Nowak
