"","id_no","binomial","presence","origin","shape_Area","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"3053",14210,"Myotis volans",1,1,503.0297595,4654,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",8.46,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3054",14211,"Myotis welwitschii",1,1,361.3950926,4653,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",15.5,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3055",29484,"Myotis yanbarensis",1,1,0.001356995,4652,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_2","D1","A","A","",1,0,0,"Ref_1","ABC",7.74,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3056",14213,"Myotis yumanensis",1,1,420.8770844,4649,"Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","A","A","",1,0,0,"Ref_1","ABC",5.39,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3057",14222,"Myrmecobius fasciatus",1,2,0.004875469,103,"Myrmecobiidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",0,0,1,"Ref_1","ABC",471.5,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3058",14224,"Myrmecophaga tridactyla",1,1,975.6078304,444,"Myrmecophagidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",22333.15,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3060",14258,"Mysateles prehensilis",1,1,9.302293993,3109,"Capromyidae",0,0,0,0,0,0,30,0,0,70,"Ref_3","D2","Ar","A","",1,0,0,"Ref_1","ABC",926.71,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3061",14261,"Mystacina tuberculata",1,1,0.186802585,4250,"Mystacinidae",0,0,0,0,0,0,0,0,0,0,"Ref_3","D2","G","A","",1,0,0,"Ref_1","ABC",12.6,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3062",14262,"Mystromys albicaudatus",1,1,38.82822878,1365,"Nesomyidae",30,0,0,0,0,0,0,0,30,40,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",86.85,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3063",14288,"Myzopoda aurita",1,1,0.014219255,4248,"Myzopodidae",0,0,0,0,0,0,0,0,0,0,"Ref_3","D2","A","A","",1,0,0,"Ref_1","ABC",9.1,"Ref_58",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
