id_no,binomial,presence,origin,shape_Area
41452,Blarina carolinensis,1,1,83.48445223
41453,Blarina hylophaga,1,1,73.92695222
136365,Blarinella griselda,1,1,12.36544614
40613,Blarinella quadraticauda,1,1,1.650078833
2825,Blarinella wardi,1,1,10.30395814
2827,Blarinomys breviceps,1,1,38.19272341
2828,Blastocerus dichotomus,1,1,0.614583629
2891,Bos gaurus,1,1,3.77E-05
2888,Bos javanicus,1,1,0.215566165
2892,Bos mutus,1,1,0.069622325
2893,Boselaphus tragocamelus,1,1,201.8555317
2957,Brachiones przewalskii,1,1,90.37602547
2963,Brachylagus idahoensis,1,2,1.85892407
2982,Brachyphylla cavernarum,1,1,0.011467425
2983,Brachyphylla nana,1,1,6.356186735
2991,Brachytarsomys albicauda,1,1,5.537589805
136399,Brachytarsomys villosa,1,1,0.05042614
2993,Brachyteles arachnoides,1,1,7.639035689
2994,Brachyteles hypoxanthus,1,1,7.90930339
2997,Brachyuromys betsileoensis,1,1,3.68784349
2998,Brachyuromys ramirohitra,1,1,5.003009461
61925,Bradypus pygmaeus,1,1,0.000280712
3036,Bradypus torquatus,1,1,1.36875161
3037,Bradypus tridactylus,1,1,84.90211053
3038,Bradypus variegatus,1,1,808.6078688
136794,Brucepattersonius albinasus,1,1,0.027012932
136371,Brucepattersonius griserufescens,1,1,1.094871915
136402,Brucepattersonius guarani,1,1,0.13993372
136672,Brucepattersonius igniventris,1,1,1.186696599
15787,Brucepattersonius iheringi,1,1,16.57325886
136457,Brucepattersonius misionensis,1,1,0.13802199
136198,Brucepattersonius paradisus,1,1,0.111462952
136442,Brucepattersonius soricinus,1,1,1.37898748
3129,Bubalus arnee,1,1,0.02161616
3126,Bubalus depressicornis,1,1,5.98125173
3127,Bubalus mindorensis,1,1,0.005126045
3128,Bubalus quarlesi,1,1,0.37826936
3160,Budorcas taxicolor,1,1,12.11968821
3322,Bullimus bagobus,1,1,1.03885289
136264,Bullimus gamay,1,1,0.020813945
3323,Bullimus luzonicus,1,1,2.584152195
3326,Bunolagus monticularis,1,1,7.471484335
3327,Bunomys andrewsi,1,1,9.155805485
3328,Bunomys chrysocomus,1,1,13.77251044
3329,Bunomys coelestis,1,1,0.01088976
3330,Bunomys fratrorum,1,1,1.29895004
3332,Bunomys penitus,1,1,1.662111685
3333,Bunomys prolatus,1,1,0.06356748
3339,Burramys parvus,1,1,0.054674378
3412,Cabassous centralis,1,1,62.33444842
3413,Cabassous chacoensis,1,1,43.07664196
3414,Cabassous tatouay,1,1,222.1704743
3415,Cabassous unicinctus,1,1,805.9818741
136419,Cacajao ayresi,1,1,0.517282845
3416,Cacajao calvus,1,1,0.98932951
136640,Cacajao hosomi,1,1,5.668295825
40521,Caenolestes caniventer,1,1,0.119055212
136743,Caenolestes condorensis,1,1,0.006403992
40522,Caenolestes convelatus,1,1,0.741720915
41506,Caenolestes fuliginosus,1,1,14.7302797
3519,Calcochloris obtusirostris,1,1,10.18312323
4767,Calcochloris tytonis,1,1,0.025392969
41584,Callibella humilis,1,1,0.520504925
136815,Callicebus aureipalatii,1,1,1.933779495
41560,Callicebus baptista,1,1,1.199442375
39929,Callicebus barbarabrownae,1,1,10.7582444
41561,Callicebus bernhardi,1,1,9.82264367
41558,Callicebus brunneus,1,1,20.16090803
41552,Callicebus caligatus,1,1,5.990158611
14699281,Callicebus caquetensis,1,1,0.110603408
41557,Callicebus cinerascens,1,1,17.28127654
39954,Callicebus coimbrai,1,1,3.191198435
41551,Callicebus cupreus,1,1,63.47308103
41553,Callicebus discolor,1,1,18.83724292
41548,Callicebus donacophilus,1,1,13.74323962
3549,Callicebus dubius,1,1,10.06726527
41559,Callicebus hoffmannsi,1,1,7.503438035
41564,Callicebus lucifer,1,1,19.05116731
41563,Callicebus lugens,1,1,74.30240516
39944,Callicebus medemi,1,1,1.27254617
39930,Callicebus melanochir,1,1,8.403124664
41550,Callicebus modestus,1,1,0.54772674
41556,Callicebus moloch,1,1,77.41464985
39943,Callicebus nigrifrons,1,1,42.59269605
3553,Callicebus oenanthe,1,1,0.744571223
3554,Callicebus olallae,1,1,0.05671307
39928,Callicebus ornatus,1,1,1.93965131
41549,Callicebus pallescens,1,1,36.12400097
3555,Callicebus personatus,1,1,12.25791093
41565,Callicebus purinus,1,1,12.46416715
41566,Callicebus regulus,1,1,18.05594839
41555,Callicebus stephennashi,1,1,2.596772765
41562,Callicebus torquatus,1,1,20.15135748
3564,Callimico goeldii,1,1,49.32926823
6985,Callistomys pictus,1,1,0.389492386
3570,Callithrix aurita,1,1,13.96713897
3571,Callithrix flaviceps,1,1,2.133322775
3572,Callithrix geoffroyi,1,1,10.64820066
41518,Callithrix jacchus,1,1,77.27420237
3575,Callithrix kuhlii,1,1,3.843606815
41519,Callithrix penicillata,1,1,110.8773132
3591,Callosciurus adamsi,1,1,7.301701784
3592,Callosciurus albescens,1,1,4.790247935
3593,Callosciurus baluensis,1,1,3.92197643
3594,Callosciurus caniceps,1,1,0.02972512
3595,Callosciurus erythraeus,1,1,2.88304094
3596,Callosciurus finlaysonii,1,1,0.00540177
3597,Callosciurus inornatus,1,1,26.8317778
3598,Callosciurus melanogaster,1,1,0.050945655
3599,Callosciurus nigrovittatus,1,1,34.93508728
3600,Callosciurus notatus,1,1,0.007295825
3601,Callosciurus orestes,1,1,3.53413736
3602,Callosciurus phayrei,1,1,13.41697226
3603,Callosciurus prevostii,1,1,0.002529005
3604,Callosciurus pygerythrus,1,1,47.56379199
3605,Callosciurus quinquestriatus,1,1,3.665092165
3609,Calomys boliviae,1,1,3.786199254
3610,Calomys callidus,1,1,5.21643076
3611,Calomys callosus,1,1,267.9269165
136689,Calomys expulsus,1,1,113.2797593
136737,Calomys fecundus,1,1,4.688124095
3612,Calomys hummelincki,1,1,1.964641711
3613,Calomys laucha,1,1,0.16316826
3614,Calomys lepidus,1,1,50.01012117
3615,Calomys musculinus,1,1,198.8159536
3616,Calomys sorellus,1,1,20.37776593
3617,Calomys tener,1,1,146.5090793
136679,Calomys tocantinsi,1,1,11.0314335
136304,Calomys venustus,1,1,5.625150449
3618,Calomyscus bailwardi,1,1,17.88130448
3619,Calomyscus baluchi,1,1,41.21190364
136377,Calomyscus elburzensis,1,1,23.28390271
136252,Calomyscus grandis,1,1,0.601338207
3620,Calomyscus hotsoni,1,1,12.86233435
3621,Calomyscus mystax,1,1,21.10967939
3622,Calomyscus tsolovi,1,1,0.003227123
3623,Calomyscus urartensis,1,1,0.5008771
3650,Caluromys derbianus,1,1,65.99809506
3648,Caluromys lanatus,1,1,428.6406719
3649,Caluromys philander,1,1,0.69553839
3651,Caluromysiops irrupta,1,1,15.10719184
4703,Calyptophractus retusus,1,1,23.60576178
63543,Camelus ferus,1,1,4.299011001
3753,Canis adustus,1,1,887.6480913
3744,Canis aureus,1,1,933.9326446
3745,Canis latrans,1,1,2143.776069
3746,Canis lupus,1,2,2.609328998
3755,Canis mesomelas,1,1,270.4058291
3747,Canis rufus,1,2,0.310694045
3748,Canis simensis,1,1,0.101576164
3759,Cannomys badius,1,1,19.94577541
3760,Cansumys canus,1,1,15.91954045
3786,Capra aegagrus,1,1,30.60525992
3794,Capra caucasica,1,1,1.31962199
3795,Capra cylindricornis,1,1,2.432726688
3787,Capra falconeri,1,1,0.030513075
42397,Capra ibex,1,2,0.006153855
3796,Capra nubiana,1,2,0.01173223
3798,Capra pyrenaica,1,2,0.042954715
42398,Capra sibirica,1,1,0.370615275
3797,Capra walie,1,1,0.070485995
42395,Capreolus capreolus,1,1,29.19499
42396,Capreolus pygargus,1,1,1507.620493
3811,Capricornis crispus,1,1,12.38049303
3814,Capricornis milneedwardsii,1,1,7.452399696
3815,Capricornis rubidus,1,1,7.756713506
3812,Capricornis sumatraensis,1,1,1.13538208
3810,Capricornis swinhoei,1,1,0.035521435
3816,Capricornis thar,1,1,44.58433643
3833,Caprolagus hispidus,1,1,10.45228024
3842,Capromys pilorides,1,1,6.87E-05
18306,Caracal aurata,1,1,282.3347864
3847,Caracal caracal,1,1,98.80198089
3858,Cardiocranius paradoxus,1,1,4.378862494
3859,Cardioderma cor,1,1,183.9827501
3903,Carollia brevicauda,1,1,883.2383243
3904,Carollia castanea,1,1,401.6178287
136782,Carollia manu,1,1,2.669994461
3905,Carollia perspicillata,1,1,1146.478241
136268,Carollia sowelli,1,1,66.77798553
3906,Carollia subrufa,1,1,17.80426926
40596,Carpitalpa arendsi,1,1,0.026805612
3917,Carpomys melanurus,1,1,0.215311245
3916,Carpomys phaeurus,1,1,0.35782052
3921,Carterodon sulcidens,1,1,23.20582664
7799,Caryomys eva,1,1,19.11023552
7800,Caryomys inez,1,1,0.168701551
3999,Casinycteris argynnis,1,1,138.8846723
4003,Castor canadensis,1,1,3.958920183
4007,Castor fiber,1,2,0.157101641
4015,Catagonus wagneri,1,1,26.66681718
4037,Catopuma badia,1,1,21.89236454
4038,Catopuma temminckii,1,1,29.59280583
4064,Cavia aperea,1,1,485.7635322
4065,Cavia fulgida,1,1,25.27944092
136520,Cavia intermedia,1,1,2.69E-05
4066,Cavia magna,1,1,4.713899008
4068,Cavia tschudii,1,1,53.53579592
41535,Cebuella pygmaea,1,1,94.75416867
39949,Cebus apella,1,1,0.07880779
136366,Cebus cay,1,1,54.05343293
136253,Cebus flavius,1,1,1.79807804
40019,Cebus kaapori,1,1,15.51875105
136346,Cebus libidinosus,1,1,217.5608251
42696,Cebus macrocephalus,1,1,216.0147739
136717,Cebus nigritus,1,1,78.00363906
42697,Cebus robustus,1,1,10.21352114
4074,Cebus xanthosternos,1,1,38.89003091
136350,Centronycteris centralis,1,1,195.1298902
4112,Centronycteris maximiliani,1,1,461.6871856
4133,Centurio senex,1,1,174.5319439
4137,Cephalophus adersi,1,1,0.12766505
